area_type,availability,size(BHK),total_sqft,bath,balcony,price,location,price_per_sqft
Plot  Area,Ready To Move,4.0,2400.0,4.0,3.0,600.0,Deccan Gymkhana,25000.0
Built-up  Area,Ready To Move,3.0,1540.0,2.0,2.0,78.0,Dehu Road,5064.935064935065
Built-up  Area,Ready To Move,3.0,1503.0,2.0,2.0,93.0,Dhankawadi,6187.624750499002
Super built-up  Area,Ready To Move,3.0,1850.0,4.0,2.0,120.0,Dhayari Phata,6486.486486486487
Built-up  Area,Ready To Move,3.0,1580.0,3.0,1.0,60.0,Dhole Patil Road,3797.46835443038
Super built-up  Area,Ready To Move,2.0,1190.0,2.0,2.0,39.25,Erandwane,3298.3193277310925
Plot  Area,Ready To Move,2.0,1200.0,2.0,1.0,61.0,Fatima Nagar,5083.333333333333
Plot  Area,Ready To Move,7.0,1000.0,7.0,3.0,250.0,Fergusson College Road,25000.0
Super built-up  Area,18-Nov,2.0,850.0,1.0,1.0,19.9,Ganesh Peth,2341.176470588235
Super built-up  Area,Ready To Move,3.0,2180.0,3.0,2.0,285.0,Ganeshkhind,13073.394495412844
Super built-up  Area,Ready To Move,3.0,2500.0,2.0,1.0,60.0,Ghorpade Peth,2400.0
Plot  Area,18-Dec,3.0,1200.0,3.0,1.0,56.12,Ghorpadi,4676.666666666667
Super built-up  Area,Ready To Move,3.0,1500.0,2.0,2.0,52.0,Gokhale Nagar,3466.6666666666665
Plot  Area,Ready To Move,5.0,1200.0,3.0,2.0,180.0,Gultekdi,15000.0
Super built-up  Area,Ready To Move,3.0,1880.0,3.0,3.0,120.0,Guruwar peth,6382.978723404255
Super built-up  Area,Ready To Move,2.0,1150.0,2.0,2.0,45.0,Hadapsar,3913.0434782608695
Plot  Area,18-May,4.0,4408.0,4.0,2.0,344.0,Hadapsar Industrial Estate,7803.992740471869
Super built-up  Area,Ready To Move,2.0,924.0,2.0,2.0,35.11,Hingne Khurd,3799.78354978355
Super built-up  Area,Ready To Move,5.0,7800.0,6.0,1.5845003933910307,385.0,Jangali Maharaj Road,4935.897435897436
Plot  Area,Ready To Move,6.0,600.0,6.0,3.0,100.0,Kalyani Nagar,16666.666666666668
Plot  Area,18-Feb,4.0,750.0,4.0,1.0,95.0,Karve Nagar,12666.666666666666
Built-up  Area,Ready To Move,3.0,1962.0,3.0,2.0,175.0,Karve Road,8919.469928644241
Plot  Area,Ready To Move,5.0,1200.0,4.0,3.0,240.0,Kasba Peth,20000.0
Super built-up  Area,18-Nov,3.0,1765.0,3.0,2.0,77.27,Katraj,4377.903682719547
Super built-up  Area,Ready To Move,2.0,1174.0,2.0,1.0,29.35,Khadaki,2500.0
Super built-up  Area,19-Jun,3.0,1894.0,3.0,1.0,115.0,Khadki,6071.805702217529
Plot  Area,Ready To Move,4.0,960.0,2.0,2.0,138.0,Kharadi,14375.0
Super built-up  Area,Ready To Move,3.0,1760.0,3.0,2.0,142.0,Kondhwa,8068.181818181818
Built-up  Area,Ready To Move,3.0,1768.0,3.0,3.0,95.0,Kondhwa Budruk,5373.303167420814
Built-up  Area,Ready To Move,3.0,1790.0,3.0,0.0,97.0,Kondhwa Khurd,5418.994413407821
Plot  Area,17-Jul,4.0,3500.0,5.0,1.0,800.0,Koregaon Park,22857.14285714286
Plot  Area,18-Dec,2.0,1200.0,2.0,1.0,45.0,Kothrud,3750.0
Built-up  Area,Ready To Move,4.0,2540.0,4.0,0.0,160.0,Law College Road,6299.212598425197
Super built-up  Area,Ready To Move,2.0,1137.0,2.0,1.0,53.4,Laxmi Road,4696.5699208443275
Super built-up  Area,22-May,4.0,3181.0,2.6926619356786956,1.5845003933910307,229.0,Lulla Nagar,7198.994027035524
Plot  Area,Ready To Move,7.0,1200.0,6.0,1.5845003933910307,115.0,Mahatma Gandhi Road,9583.333333333334
Super built-up  Area,Ready To Move,3.0,1568.0,2.0,2.0,100.0,Mangalwar peth,6377.551020408163
Built-up  Area,Ready To Move,4.0,4920.0,4.0,0.0,393.5,Manik Bagh,7997.967479674797
Super built-up  Area,Ready To Move,2.0,1308.0,2.0,1.0,60.0,Market yard,4587.155963302752
Super built-up  Area,19-Aug,4.0,3060.0,4.0,2.0,350.0,Model colony,11437.908496732027
Super built-up  Area,Ready To Move,3.0,1200.0,2.0,1.0,41.0,Mukund Nagar,3416.6666666666665
Super built-up  Area,Ready To Move,1.0,800.0,1.0,2.0,32.0,Mundhawa,4000.0
Super built-up  Area,19-Dec,1.0,530.0,1.0,1.0,13.5,Nagar Road,2547.169811320755
Built-up  Area,Ready To Move,3.0,873.0,2.0,1.0,40.0,Nana Peth,4581.901489117984
Plot  Area,Ready To Move,7.0,3000.0,6.0,3.0,145.0,Narayan Peth,4833.333333333333
Plot  Area,Ready To Move,4.0,1200.0,4.0,1.0,235.0,Narayangaon,19583.333333333332
Super built-up  Area,Ready To Move,2.0,958.0,2.0,1.0,33.53,Navi Peth,3500.0
Super built-up  Area,Ready To Move,3.0,2072.0,4.0,2.0,160.0,Padmavati,7722.007722007722
Super built-up  Area,21-Dec,3.0,2273.0,3.0,3.0,159.0,Parvati Darshan,6995.160580730312
Plot  Area,18-May,3.0,600.0,3.0,2.0,90.0,Pashan,15000.0
Super built-up  Area,Ready To Move,1.0,760.0,1.0,2.0,50.0,Paud Road,6578.9473684210525
Super built-up  Area,Ready To Move,2.0,1090.0,2.0,2.0,43.5,Pirangut,3990.8256880733943
Super built-up  Area,Ready To Move,3.0,2072.0,4.0,2.0,155.0,Prabhat Road,7480.694980694981
Super built-up  Area,Ready To Move,3.0,2666.0,3.0,1.0,230.0,Pune Railway Station,8627.156789197299
Super built-up  Area,Ready To Move,3.0,1550.0,2.0,1.0,89.0,Rasta Peth,5741.935483870968
Super built-up  Area,18-Aug,2.0,1251.0,2.0,1.0,50.0,Raviwar Peth,3996.802557953637
Super built-up  Area,Ready To Move,2.0,1070.0,2.0,1.0,53.0,Sadashiv Peth,4953.271028037383
Super built-up  Area,Ready To Move,2.0,1200.0,2.0,2.0,45.0,Sahakar Nagar,3750.0
Built-up  Area,Ready To Move,3.0,1435.0,2.0,2.0,60.0,Salunke Vihar,4181.184668989547
Built-up  Area,Ready To Move,3.0,1400.0,2.0,3.0,45.0,Sasson Road,3214.285714285714
Super built-up  Area,Ready To Move,4.0,2330.0,3.0,2.0,94.71,Satara Road,4064.8068669527897
Super built-up  Area,Ready To Move,2.0,1200.0,2.0,3.0,60.0,Senapati Bapat Road,5000.0
Super built-up  Area,Ready To Move,2.0,1000.0,2.0,2.0,40.0,Shaniwar Peth,4000.0
Super built-up  Area,18-Sep,3.0,1655.0,2.0,2.0,62.89,Shivaji Nagar,3800.0
Built-up  Area,Ready To Move,9.0,3600.0,9.0,3.0,240.0,Shukrawar Peth,6666.666666666667
Plot  Area,Ready To Move,1.0,600.0,1.0,1.0,35.0,Sinhagad Road,5833.333333333333
Super built-up  Area,Ready To Move,2.0,1175.0,2.0,1.0,50.0,Somwar Peth,4255.31914893617
Super built-up  Area,Ready To Move,2.0,1155.0,2.0,2.0,40.43,Swargate,3500.4329004329006
Plot  Area,Ready To Move,3.0,1200.0,3.0,2.0,98.0,Tilak Road,8166.666666666667
Super built-up  Area,Ready To Move,2.0,1149.0,2.0,2.0,65.0,Uruli Devachi,5657.093124456049
Super built-up  Area,Ready To Move,3.0,1745.0,2.6926619356786956,1.5845003933910307,98.485,Vadgaon Budruk,5643.839541547278
Plot  Area,Ready To Move,4.0,3200.0,4.0,2.0,375.0,Wadgaon Sheri,11718.75
Super built-up  Area,Ready To Move,2.0,1010.0,2.0,2.0,55.0,Viman Nagar,5445.544554455446
Super built-up  Area,Ready To Move,3.0,1718.0,3.0,2.0,119.0,Vishrant Wadi,6926.6589057043075
Super built-up  Area,Ready To Move,2.0,650.0,1.0,1.0,20.0,Wagholi,3076.923076923077
Super built-up  Area,Ready To Move,2.0,1330.0,2.0,2.0,77.0,Wakadewadi,5789.473684210527
Super built-up  Area,Ready To Move,2.0,1200.0,2.0,2.0,68.0,Wanowrie,5666.666666666667
Super built-up  Area,21-Dec,3.0,1693.0,3.0,2.0,89.0,Warje,5256.940342587123
Super built-up  Area,19-Dec,2.0,1249.0,2.0,1.0,165.0,Yerawada,13210.56845476381
Built-up  Area,Ready To Move,3.0,1800.0,4.0,1.0,125.0,Alandi Road,6944.444444444444
Plot  Area,Ready To Move,2.0,900.0,2.0,0.0,55.0,Ambegaon Budruk,6111.111111111111
Super built-up  Area,Ready To Move,2.0,1020.0,2.0,1.0,46.0,Anandnagar,4509.803921568628
Super built-up  Area,Ready To Move,3.0,1700.0,3.0,2.0,77.0,Aundh,4529.411764705882
Built-up  Area,18-Jun,1.0,661.0,1.0,1.0,40.0,Aundh Road,6051.437216338881
Super built-up  Area,17-Sep,2.0,1280.0,2.0,2.0,60.16,Balaji Nagar,4700.0
Plot  Area,Ready To Move,5.0,1000.0,4.0,2.0,90.0,Baner,9000.0
Super built-up  Area,Ready To Move,2.0,1170.0,2.0,1.0,48.0,Baner road,4102.5641025641025
Super built-up  Area,Ready To Move,1.0,933.0,2.0,1.0,58.0,Bhandarkar Road,6216.505894962486
Built-up  Area,Ready To Move,2.0,1150.0,2.0,0.0,44.0,Bhavani Peth,3826.086956521739
Super built-up  Area,Ready To Move,4.0,3633.0,6.0,2.0,550.0,Bibvewadi,15139.003578309937
Super built-up  Area,Ready To Move,3.0,1380.0,3.0,3.0,130.0,Bopodi,9420.289855072464
Built-up  Area,Ready To Move,2.0,1050.0,2.0,1.0,64.8,Budhwar Peth,6171.428571428572
Super built-up  Area,Ready To Move,2.0,1080.0,2.0,1.0,37.8,Bund Garden Road,3499.9999999999995
Super built-up  Area,Ready To Move,2.0,1303.0,2.0,1.0,90.0,Camp,6907.137375287797
Super built-up  Area,Ready To Move,2.0,1196.0,2.0,2.0,40.54,Chandan Nagar,3389.632107023411
Built-up  Area,Ready To Move,5.0,2500.0,3.0,2.0,180.0,Dapodi,7200.0
Plot  Area,Ready To Move,5.0,1200.0,4.0,1.0,95.0,Deccan Gymkhana,7916.666666666667
Super built-up  Area,18-May,3.0,1250.0,3.0,2.0,41.0,Dehu Road,3280.0
Super built-up  Area,Ready To Move,3.0,1419.0,2.0,3.0,87.0,Dhankawadi,6131.0782241014795
Super built-up  Area,Ready To Move,2.0,1200.0,2.0,3.0,49.0,Dhayari Phata,4083.3333333333335
Built-up  Area,Ready To Move,2.0,1120.0,2.0,2.0,65.0,Dhole Patil Road,5803.571428571428
Super built-up  Area,Ready To Move,1.0,762.5,1.0,0.0,45.4,Erandwane,5954.098360655737
Super built-up  Area,Ready To Move,2.0,1245.0,2.0,1.0,75.0,Fatima Nagar,6024.096385542169
Built-up  Area,Ready To Move,4.0,3978.0,4.0,3.0,428.0,Fergusson College Road,10759.175465057819
Super built-up  Area,Ready To Move,2.0,1093.0,2.0,1.0,34.0,Ganesh Peth,3110.704483074108
Super built-up  Area,18-Jul,2.0,1025.0,1.0,1.0,26.63,Ganeshkhind,2598.048780487805
Super built-up  Area,Ready To Move,2.0,1345.0,2.0,1.0,97.0,Ghorpade Peth,7211.8959107806695
Plot  Area,Ready To Move,2.0,1500.0,2.0,1.0,45.0,Ghorpadi,3000.0
Super built-up  Area,21-Jun,2.0,1180.0,2.0,1.0,86.0,Gokhale Nagar,7288.135593220339
Super built-up  Area,Ready To Move,2.0,1020.0,2.0,1.0,48.45,Gultekdi,4750.0
Super built-up  Area,Ready To Move,3.0,1800.0,3.0,3.0,85.0,Guruwar peth,4722.222222222223
Super built-up  Area,18-Aug,4.0,3621.0,4.0,1.0,511.0,Hadapsar,14112.123722728527
Super built-up  Area,Ready To Move,3.0,2008.0,3.0,2.0,170.0,Hadapsar Industrial Estate,8466.135458167331
Super built-up  Area,18-Jun,3.0,1240.0,2.0,2.0,39.85,Hingne Khurd,3213.7096774193546
Super built-up  Area,Ready To Move,2.0,1020.0,2.0,1.0,55.0,Jangali Maharaj Road,5392.156862745098
Super built-up  Area,Ready To Move,3.0,2095.0,3.0,2.0,142.0,Kalyani Nagar,6778.042959427207
Super built-up  Area,Ready To Move,3.0,1362.0,3.0,2.0,62.63,Karve Nagar,4598.384728340676
Super built-up  Area,Ready To Move,1.0,694.0,1.0,0.0,30.84,Karve Road,4443.804034582133
Super built-up  Area,Ready To Move,2.0,1404.0,2.0,2.0,70.0,Kasba Peth,4985.754985754986
Super built-up  Area,Ready To Move,3.0,1192.0,2.0,3.0,47.0,Katraj,3942.953020134228
Plot  Area,Ready To Move,8.0,1850.0,12.0,1.5845003933910307,300.0,Khadaki,16216.216216216217
Plot  Area,Ready To Move,4.0,1050.0,1.0,0.0,35.0,Khadki,3333.3333333333335
Super built-up  Area,Ready To Move,2.0,1259.0,2.0,1.0,67.48,Kharadi,5359.809372517871
Super built-up  Area,Ready To Move,2.0,1000.0,2.0,2.0,34.0,Kondhwa,3400.0
Super built-up  Area,20-Dec,2.0,985.0,2.0,1.0,49.97,Kondhwa Budruk,5073.096446700508
Built-up  Area,Ready To Move,1.0,850.0,1.0,2.0,60.0,Kondhwa Khurd,7058.823529411765
Built-up  Area,Ready To Move,3.0,1650.0,2.0,1.0,50.0,Koregaon Park,3030.3030303030305
Plot  Area,Ready To Move,5.0,2400.0,3.0,1.0,320.0,Kothrud,13333.333333333334
Super built-up  Area,Ready To Move,3.0,1900.0,4.0,1.0,180.0,Law College Road,9473.684210526315
Super built-up  Area,Ready To Move,2.0,1367.0,2.0,2.0,86.0,Laxmi Road,6291.148500365764
Super built-up  Area,Ready To Move,3.0,1210.0,2.0,2.0,81.0,Lulla Nagar,6694.214876033057
Super built-up  Area,Ready To Move,2.0,1190.0,2.0,1.0,48.6,Mahatma Gandhi Road,4084.0336134453783
Super built-up  Area,Ready To Move,2.0,1175.0,2.0,2.0,42.0,Mangalwar peth,3574.468085106383
Super built-up  Area,Ready To Move,4.0,2800.0,4.0,1.5845003933910307,400.0,Manik Bagh,14285.714285714286
Super built-up  Area,Ready To Move,2.0,1140.0,2.0,2.0,40.0,Market yard,3508.7719298245615
Super built-up  Area,Ready To Move,2.0,1095.0,2.0,2.0,33.6,Model colony,3068.4931506849316
Super built-up  Area,Ready To Move,1.0,782.0,1.0,0.0,19.55,Mukund Nagar,2500.0
Super built-up  Area,Ready To Move,3.0,1435.0,2.0,2.0,80.0,Mundhawa,5574.912891986062
Super built-up  Area,Ready To Move,2.0,725.0,2.0,2.0,36.0,Nagar Road,4965.517241379311
Built-up  Area,Ready To Move,3.0,1600.0,2.0,2.0,88.0,Nana Peth,5500.0
Plot  Area,Ready To Move,5.0,1200.0,5.0,1.5845003933910307,160.0,Narayan Peth,13333.333333333334
Super built-up  Area,Ready To Move,4.0,3205.0,4.0,2.0,300.0,Narayangaon,9360.374414976599
Plot  Area,Ready To Move,4.0,720.0,3.0,1.0,95.0,Navi Peth,13194.444444444445
Super built-up  Area,Ready To Move,3.0,1674.0,3.0,1.5845003933910307,90.0,Padmavati,5376.344086021505
Plot  Area,Ready To Move,4.0,860.0,4.0,2.0,125.0,Parvati Darshan,14534.883720930233
Super built-up  Area,Ready To Move,2.0,1243.0,2.0,2.0,46.0,Pashan,3700.7240547063557
Super built-up  Area,19-Jul,3.0,1703.0,3.0,2.0,130.0,Paud Road,7633.587786259542
Super built-up  Area,18-May,3.0,1350.0,3.0,1.0,71.55,Pirangut,5300.0
Super built-up  Area,Ready To Move,2.0,1145.0,2.0,1.0,41.21,Prabhat Road,3599.126637554585
Super built-up  Area,18-Apr,2.0,1216.0,2.0,1.0,75.0,Pune Railway Station,6167.763157894737
Super built-up  Area,Ready To Move,2.0,1100.0,3.0,1.0,60.0,Rasta Peth,5454.545454545455
Super built-up  Area,Ready To Move,4.0,2425.0,5.0,1.0,201.0,Raviwar Peth,8288.659793814433
Plot  Area,Ready To Move,4.0,2700.0,4.0,2.0,175.0,Sadashiv Peth,6481.481481481482
Super built-up  Area,Ready To Move,2.0,1196.0,2.0,2.0,40.54,Sahakar Nagar,3389.632107023411
Carpet  Area,Ready To Move,3.0,1600.0,3.0,3.0,90.0,Salunke Vihar,5625.0
Super built-up  Area,17-Oct,3.0,1510.0,3.0,3.0,47.57,Sasson Road,3150.3311258278145
Super built-up  Area,Ready To Move,4.0,3033.0,4.0,1.0,326.0,Satara Road,10748.433893834488
Plot  Area,Ready To Move,2.0,780.0,2.0,1.0,72.0,Senapati Bapat Road,9230.76923076923
Super built-up  Area,Ready To Move,2.0,1194.0,2.0,2.0,47.0,Shaniwar Peth,3936.348408710218
Built-up  Area,Ready To Move,2.0,1250.0,2.0,2.0,110.0,Shivaji Nagar,8800.0
Plot  Area,Ready To Move,5.0,1480.0,4.0,1.0,169.0,Shukrawar Peth,11418.918918918918
Plot  Area,Ready To Move,4.0,1250.0,4.0,1.0,100.0,Sinhagad Road,8000.0
Plot  Area,Ready To Move,4.0,1350.0,4.0,2.0,160.0,Somwar Peth,11851.851851851852
Built-up  Area,Ready To Move,1.0,620.0,2.0,0.0,48.0,Swargate,7741.935483870968
Super built-up  Area,Ready To Move,3.0,1630.0,3.0,2.0,60.65,Tilak Road,3720.8588957055213
Built-up  Area,Ready To Move,2.0,1020.0,2.0,0.0,45.0,Uruli Devachi,4411.764705882353
Super built-up  Area,18-Aug,3.0,1410.0,2.0,2.0,53.58,Vadgaon Budruk,3800.0
Carpet  Area,18-Dec,2.0,1181.7,2.0,1.0,100.0,Wadgaon Sheri,8462.384700008462
Plot  Area,Ready To Move,9.0,1200.0,8.0,3.0,270.0,Viman Nagar,22500.0
Super built-up  Area,Ready To Move,3.0,1691.0,3.0,2.0,113.0,Vishrant Wadi,6682.436428149024
Built-up  Area,Ready To Move,4.0,1200.0,4.0,0.0,83.0,Wagholi,6916.666666666667
Super built-up  Area,Ready To Move,2.0,1200.0,2.0,3.0,60.0,Wakadewadi,5000.0
Super built-up  Area,Ready To Move,2.0,1050.0,2.0,2.0,50.0,Wanowrie,4761.9047619047615
Super built-up  Area,Ready To Move,3.0,1300.0,3.0,2.0,77.99,Warje,5999.230769230769
Super built-up  Area,21-Dec,2.0,1356.0,2.0,1.0,94.84,Yerawada,6994.100294985251
Super built-up  Area,20-Dec,2.0,1338.0,2.0,1.0,103.0,Alandi Road,7698.056801195815
Super built-up  Area,Ready To Move,1.0,500.0,1.0,1.0,20.0,Ambegaon Budruk,4000.0
Super built-up  Area,18-Aug,3.0,1280.0,2.0,1.0,100.0,Anandnagar,7812.5
Super built-up  Area,Ready To Move,3.0,1531.0,3.0,3.0,51.77,Aundh,3381.4500326583934
Super built-up  Area,18-May,4.0,11000.0,4.0,1.0,1600.0,Aundh Road,14545.454545454546
Built-up  Area,Ready To Move,2.0,620.0,1.0,1.0,23.5,Balaji Nagar,3790.3225806451615
Super built-up  Area,Ready To Move,3.0,1605.0,2.0,2.0,65.0,Baner,4049.8442367601247
Super built-up  Area,Ready To Move,3.0,1917.0,3.0,2.0,110.0,Baner road,5738.132498695879
Plot  Area,Ready To Move,4.0,1200.0,3.0,1.0,340.0,Bhandarkar Road,28333.333333333332
Super built-up  Area,Ready To Move,3.0,2750.0,3.0,2.0,943.0,Bhavani Peth,34290.90909090909
Built-up  Area,Ready To Move,3.0,1400.0,3.0,2.0,55.0,Bibvewadi,3928.5714285714284
Built-up  Area,Ready To Move,3.0,2625.0,3.0,3.0,175.0,Bopodi,6666.666666666667
Built-up  Area,Ready To Move,2.0,1100.0,2.0,1.0,55.0,Budhwar Peth,5000.0
Super built-up  Area,Ready To Move,3.0,2041.0,3.0,3.0,128.0,Bund Garden Road,6271.435570798628
Super built-up  Area,Ready To Move,3.0,2070.0,4.0,2.0,160.0,Camp,7729.468599033817
Super built-up  Area,Ready To Move,3.0,1110.0,3.0,3.0,59.0,Chandan Nagar,5315.315315315315
Built-up  Area,Ready To Move,3.0,1650.0,3.0,1.0,110.0,Dapodi,6666.666666666667
Plot  Area,18-Dec,4.0,3565.0,4.0,3.0,255.0,Deccan Gymkhana,7152.875175315568
Super built-up  Area,19-Dec,3.0,1033.0,2.0,2.0,30.47,Dehu Road,2949.6611810261375
Super built-up  Area,Ready To Move,2.0,1142.0,2.0,2.0,65.0,Dhankawadi,5691.768826619965
Super built-up  Area,Ready To Move,3.0,1500.0,2.0,2.0,75.0,Dhayari Phata,5000.0
Super built-up  Area,Ready To Move,3.0,1502.0,3.0,3.0,50.0,Dhole Patil Road,3328.894806924101
Super built-up  Area,Ready To Move,3.0,1176.0,2.0,1.0,45.0,Erandwane,3826.530612244898
Super built-up  Area,18-May,2.0,1063.0,2.0,1.0,32.8,Fatima Nagar,3085.6067732831602
Built-up  Area,Ready To Move,2.0,1100.0,2.0,1.0,60.0,Fergusson College Road,5454.545454545455
Plot  Area,Ready To Move,2.0,1044.0,2.0,2.0,85.0,Ganesh Peth,8141.762452107279
Plot  Area,Ready To Move,3.0,5400.0,3.0,2.0,700.0,Ganeshkhind,12962.962962962964
Built-up  Area,Ready To Move,2.0,1216.0,2.0,2.0,60.0,Ghorpade Peth,4934.210526315789
Super built-up  Area,Ready To Move,3.0,1425.0,3.0,2.0,55.0,Ghorpadi,3859.6491228070176
Plot  Area,Ready To Move,8.0,1200.0,8.0,2.0,150.0,Gokhale Nagar,12500.0
Super built-up  Area,Ready To Move,2.0,1345.0,2.0,2.0,108.0,Gultekdi,8029.739776951673
Super built-up  Area,Ready To Move,2.0,1248.0,2.0,1.0,130.0,Guruwar peth,10416.666666666666
Plot  Area,Ready To Move,4.0,1830.0,4.0,2.0,325.0,Hadapsar,17759.562841530056
Built-up  Area,Ready To Move,2.0,900.0,1.0,0.0,130.0,Hadapsar Industrial Estate,14444.444444444445
Built-up  Area,Ready To Move,4.0,3600.0,4.0,1.5845003933910307,245.0,Hingne Khurd,6805.555555555556
Super built-up  Area,Ready To Move,2.0,1025.0,2.0,1.0,35.88,Jangali Maharaj Road,3500.4878048780492
Plot  Area,Ready To Move,2.0,840.0,1.0,1.0,99.0,Kalyani Nagar,11785.714285714286
Super built-up  Area,Ready To Move,3.0,3050.0,2.0,1.5845003933910307,90.0,Karve Nagar,2950.8196721311474
Super built-up  Area,Ready To Move,3.0,1424.0,2.0,2.0,75.0,Karve Road,5266.853932584269
Built-up  Area,Ready To Move,3.0,2500.0,3.0,1.0,268.0,Kasba Peth,10720.0
Plot  Area,Ready To Move,6.0,1200.0,6.0,1.5845003933910307,230.0,Katraj,19166.666666666668
Super built-up  Area,18-Aug,2.0,1285.0,2.0,2.0,45.0,Khadaki,3501.9455252918287
Super built-up  Area,Ready To Move,2.0,1450.0,2.0,1.0,55.99,Khadki,3861.3793103448274
Super built-up  Area,18-May,2.0,1160.0,2.0,1.0,70.0,Kharadi,6034.482758620689
Plot  Area,Ready To Move,3.0,2700.0,3.0,0.0,350.0,Kondhwa,12962.962962962964
Plot  Area,18-Apr,3.0,2000.0,2.0,2.0,95.0,Kondhwa Budruk,4750.0
Super built-up  Area,Ready To Move,2.0,1125.0,2.0,1.0,47.65,Kondhwa Khurd,4235.555555555556
Built-up  Area,Ready To Move,4.0,3900.0,4.0,2.0,175.0,Koregaon Park,4487.179487179487
Built-up  Area,Ready To Move,2.0,1133.0,2.0,1.0,38.37,Kothrud,3386.5842894969105
Super built-up  Area,Ready To Move,2.0,1240.0,2.0,2.0,60.0,Law College Road,4838.709677419355
Super built-up  Area,22-Nov,3.0,1466.0,3.0,3.0,77.59,Laxmi Road,5292.633015006822
Super built-up  Area,Ready To Move,4.0,3870.0,4.0,2.0,411.0,Lulla Nagar,10620.15503875969
Super built-up  Area,Ready To Move,3.0,1610.0,2.0,2.0,115.0,Mahatma Gandhi Road,7142.857142857143
Super built-up  Area,Ready To Move,3.0,1220.0,3.0,2.0,56.0,Mangalwar peth,4590.163934426229
Built-up  Area,Ready To Move,2.0,1225.0,2.0,2.0,48.0,Manik Bagh,3918.3673469387754
Super built-up  Area,Ready To Move,2.0,1300.0,2.0,1.0,54.0,Market yard,4153.846153846154
Super built-up  Area,19-May,3.0,1996.0,4.0,1.0,123.0,Model colony,6162.324649298597
Super built-up  Area,Ready To Move,3.0,1320.0,2.0,2.0,55.0,Mukund Nagar,4166.666666666667
Super built-up  Area,Ready To Move,3.0,1800.0,3.0,2.0,240.0,Mundhawa,13333.333333333334
Super built-up  Area,Ready To Move,3.0,1835.0,3.0,3.0,175.0,Nagar Road,9536.784741144415
Super built-up  Area,Ready To Move,3.0,1435.0,3.0,2.0,90.0,Nana Peth,6271.777003484321
Super built-up  Area,Ready To Move,3.0,4097.0,3.0,1.5845003933910307,400.0,Narayan Peth,9763.24139614352
Super built-up  Area,Ready To Move,3.0,1601.0,3.0,3.0,70.0,Narayangaon,4372.2673329169265
Super built-up  Area,Ready To Move,2.0,1257.0,2.0,2.0,93.0,Navi Peth,7398.568019093079
Super built-up  Area,Ready To Move,4.0,3596.0,5.0,1.0,260.0,Padmavati,7230.255839822024
Super built-up  Area,Ready To Move,2.0,1309.0,2.0,2.0,95.0,Parvati Darshan,7257.448433919022
Plot  Area,Ready To Move,2.0,1362.0,2.0,0.0,100.0,Pashan,7342.143906020558
Super built-up  Area,Ready To Move,2.0,1115.0,2.0,1.0,55.0,Paud Road,4932.735426008969
Super built-up  Area,Ready To Move,3.0,1870.0,3.0,2.0,90.0,Pirangut,4812.834224598931
Super built-up  Area,18-Nov,2.0,1322.0,2.0,1.0,61.99,Prabhat Road,4689.10741301059
Super built-up  Area,Ready To Move,3.0,1450.0,2.0,1.0,65.0,Pune Railway Station,4482.758620689655
Super built-up  Area,Ready To Move,2.0,1185.0,2.0,2.0,67.0,Rasta Peth,5654.008438818565
Super built-up  Area,Ready To Move,3.0,1790.0,3.0,3.0,120.0,Raviwar Peth,6703.91061452514
Plot  Area,Ready To Move,3.0,3450.0,4.0,2.0,208.0,Sadashiv Peth,6028.985507246377
Super built-up  Area,Ready To Move,2.0,1050.0,2.0,2.0,52.5,Sahakar Nagar,5000.0
Super built-up  Area,Ready To Move,1.0,693.0,1.0,0.0,27.375,Salunke Vihar,3950.21645021645
Plot  Area,Ready To Move,4.0,5400.0,4.0,2.0,750.0,Sasson Road,13888.888888888889
Super built-up  Area,Ready To Move,1.0,775.0,1.0,0.0,39.0,Satara Road,5032.258064516129
Built-up  Area,Ready To Move,2.0,1000.0,2.0,2.0,48.0,Senapati Bapat Road,4800.0
Super built-up  Area,19-Mar,2.0,1183.0,2.0,1.0,77.25,Shaniwar Peth,6530.0084530853765
Super built-up  Area,20-Dec,3.0,1282.0,3.0,2.0,178.0,Shivaji Nagar,13884.555382215289
Super built-up  Area,Ready To Move,1.0,425.0,1.0,1.0,15.0,Shukrawar Peth,3529.4117647058824
Built-up  Area,Ready To Move,2.0,820.0,2.0,2.0,30.0,Sinhagad Road,3658.5365853658536
Super built-up  Area,Ready To Move,4.0,2230.0,4.0,1.5845003933910307,792.0,Somwar Peth,35515.695067264576
Built-up  Area,Ready To Move,2.0,1200.0,2.0,2.0,52.0,Swargate,4333.333333333333
Super built-up  Area,18-Jun,2.0,1151.0,2.0,2.0,43.6,Tilak Road,3788.010425716768
Super built-up  Area,Ready To Move,3.0,1320.0,2.0,2.0,59.0,Uruli Devachi,4469.69696969697
Carpet  Area,18-Apr,3.0,1450.0,3.0,2.0,68.0,Vadgaon Budruk,4689.6551724137935
Super built-up  Area,Ready To Move,3.0,1270.0,2.0,3.0,50.79,Wadgaon Sheri,3999.212598425197
Super built-up  Area,Ready To Move,3.0,1847.0,3.0,2.0,123.0,Viman Nagar,6659.447753113156
Super built-up  Area,18-May,1.0,1020.0,2.0,1.0,49.87,Vishrant Wadi,4889.21568627451
Super built-up  Area,Ready To Move,3.0,1650.0,3.0,1.5845003933910307,95.0,Wagholi,5757.575757575758
